"Country","Count"
"united states",134284
"marshall islands",4542
"canada",1901
"russia",1850
"philippines",1586
"solomon islands",469
"japan",369
"australia",179
"federated states of micronesia",140
"panama",121
"mexico",112
"new caledonia",112
"kuwait",103
"northern mariana islands",93
"indonesia",74
"kiribati",47
"maldives",38
"vanuatu",33
"antarctica",32
"italy",29
"united states minor outlying islands",27
"papua new guinea",26
"taiwan",25
"honduras",24
"south africa",23
"denmark",21
"pakistan",19
"fiji",17
"south korea",17
"thailand",17
"belize",14
"kenya",14
"bahamas",13
"brazil",12
"ecuador",12
"united kingdom",9
"new zealand",8
"norway",8
"angola",7
"argentina",7
"mongolia",7
"netherlands",7
"american samoa",6
"china",6
"austria",5
"bermuda",5
"india",5
"seychelles",5
"guyana",4
"malaysia",4
"peru",4
"sri lanka",4
"venezuela",4
"algeria",3
"costa rica",3
"french polynesia",3
"somalia",3
"sweden",3
"colombia",2
"cuba",2
"france",2
"guatemala",2
"mauritius",2
"oman",2
"suriname",2
"canada, greenland",1
"chile",1
"comoros",1
"cook islands",1
"hungary",1
"ireland",1
"israel",1
"jamaica",1
"jordan",1
"libya",1
"myanmar",1
"nicaragua",1
"puerto rico",1
"saudi arabia",1
"spain",1
"tonga",1
